#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
