#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             0.0,        9, 1.000057603177193,                0.0,                  0.0
             1.0,        9, 1.0000569087063709,                0.0,                  0.0
             1.0,        9, 1.0000124274375728,                0.0,                  0.0
             1.0,        3, 0.9845025993511958,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        9, 1.000057613579484,                0.0,                  0.0
             5.0,        9, 1.0000574594381206,                0.0,                  0.0
             6.0,        9, 1.0000450719874177,                0.0,                  0.0
             3.0,        3, 0.9868524427557059,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             1.0,        9, 1.0000576080149175,                0.0,                  0.0
             1.0,        9, 1.0000569087063709,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             4.0,        3, 0.9874335264005945,                0.0,                  0.0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             0.0,        9, 0.9999943956914047,                0.0,                  0.0
             1.0,        3, 0.9845025993511958,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             3.0,        9, 1.0000572972778923,                0.0,                  0.0
             1.0,        9, 1.0000124274375728,                0.0,                  0.0
             0.0,        3, 0.982421149449441,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        9, 1.000057616084764,                0.0,                  0.0
             1.0,        9, 1.0000569087063709,                0.0,                  0.0
             3.0,        9, 1.0000346867465497,                0.0,                  0.0
             1.0,        3, 0.9845025993511958,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             3.0,        9, 1.000057613579484,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             1.0,        3, 0.9845025993511958,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             0.0,        9, 1.000057603177193,                0.0,                  0.0
             0.0,        9, 1.0000566307237464,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             4.0,        3, 0.9874335264005945,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             1.0,        9, 1.0000569087063709,                0.0,                  0.0
             4.0,        9, 1.0000407305295498,                0.0,                  0.0
             3.0,        3, 0.9868524427557059,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             4.0,        9, 1.000057615063634,                0.0,                  0.0
             5.0,        9, 1.0000574594381206,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             1.0,        9, 1.0000576080149175,                0.0,                  0.0
             4.0,        9, 1.0000573937228978,                0.0,                  0.0
             0.0,        9, 0.9999943956914047,                0.0,                  0.0
             1.0,        3, 0.9845025993511958,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             3.0,        9, 1.0000572972778923,                0.0,                  0.0
             4.0,        9, 1.0000407305295498,                0.0,                  0.0
             2.0,        3, 0.9859128818824907,                0.0,                  0.0
             3.0,        9, 1.000057613579484,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             1.0,        9, 1.0000124274375728,                0.0,                  0.0
             0.0,        3, 0.982421149449441,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             3.0,        9, 1.000057613579484,                0.0,                  0.0
             0.0,        9, 1.0000566307237464,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             1.0,        3, 0.9845025993511958,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             4.0,        9, 1.000057615063634,                0.0,                  0.0
             3.0,        9, 1.0000572972778923,                0.0,                  0.0
             4.0,        9, 1.0000407305295498,                0.0,                  0.0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             1.0,        9, 1.0000569087063709,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             2.0,        3, 0.9859128818824907,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             1.0,        9, 1.0000576080149175,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             1.0,        9, 1.0000124274375728,                0.0,                  0.0
             2.0,        3, 0.9859128818824907,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             1.0,        9, 1.0000576080149175,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             0.0,        9, 0.9999943956914047,                0.0,                  0.0
             1.0,        3, 0.9845025993511958,                0.0,                  0.0
             1.0,        9, 1.0000576080149175,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             5.0,        9, 1.0000436814705038,                0.0,                  0.0
             0.0,        3, 0.982421149449441,                0.0,                  0.0
             0.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             3.0,        9, 1.000057613579484,                0.0,                  0.0
             5.0,        9, 1.0000574594381206,                0.0,                  0.0
             1.0,        9, 1.0000124274375728,                0.0,                  0.0
             2.0,        3, 0.9859128818824907,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             2.0,        3, 0.9859128818824907,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             3.0,        9, 1.0000572972778923,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             2.0,        3, 0.9859128818824907,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             5.0,        9, 1.0000574594381206,                0.0,                  0.0
             4.0,        9, 1.0000407305295498,                0.0,                  0.0
             3.0,        9, 1.000057613579484,                0.0,                  0.0
             1.0,        9, 1.0000569087063709,                0.0,                  0.0
             0.0,        9, 0.9999943956914047,                0.0,                  0.0
             4.0,        9, 1.000057615063634,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             3.0,        9, 1.0000346867465497,                0.0,                  0.0
             3.0,        3, 0.9868524427557059,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             4.0,        3, 0.9874335264005945,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        9, 1.000057616084764,                0.0,                  0.0
             3.0,        9, 1.0000572972778923,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             0.0,        9, 1.0000566307237464,                0.0,                  0.0
             1.0,        9, 1.0000124274375728,                0.0,                  0.0
             4.0,        3, 0.9874335264005945,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             4.0,        9, 1.000057615063634,                0.0,                  0.0
             3.0,        9, 1.0000572972778923,                0.0,                  0.0
             5.0,        9, 1.0000436814705038,                0.0,                  0.0
             3.0,        3, 0.9868524427557059,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             1.0,        9, 1.0000569087063709,                0.0,                  0.0
             3.0,        9, 1.0000346867465497,                0.0,                  0.0
             0.0,        3, 0.982421149449441,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             4.0,        9, 1.000057615063634,                0.0,                  0.0
             3.0,        9, 1.0000572972778923,                0.0,                  0.0
             5.0,        9, 1.0000436814705038,                0.0,                  0.0
             3.0,        3, 0.9868524427557059,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             0.0,        9, 1.000057603177193,                0.0,                  0.0
             1.0,        9, 1.0000569087063709,                0.0,                  0.0
             4.0,        9, 1.0000407305295498,                0.0,                  0.0
             3.0,        3, 0.9868524427557059,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             0.0,        9, 1.0000566307237464,                0.0,                  0.0
             1.0,        9, 1.0000124274375728,                0.0,                  0.0
             2.0,        3, 0.9859128818824907,                0.0,                  0.0
             4.0,        9, 1.000057615063634,                0.0,                  0.0
             3.0,        9, 1.0000572972778923,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             2.0,        3, 0.9859128818824907,                0.0,                  0.0
             3.0,        9, 1.000057613579484,                0.0,                  0.0
             4.0,        9, 1.0000573937228978,                0.0,                  0.0
             1.0,        9, 1.0000124274375728,                0.0,                  0.0
             3.0,        3, 0.9868524427557059,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             3.0,        9, 1.000057613579484,                0.0,                  0.0
             4.0,        9, 1.0000573937228978,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             2.0,        3, 0.9859128818824907,                0.0,                  0.0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             1.0,        9, 1.0000569087063709,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             2.0,        3, 0.9859128818824907,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             4.0,        9, 1.0000573937228978,                0.0,                  0.0
             1.0,        9, 1.0000124274375728,                0.0,                  0.0
             1.0,        9, 1.0000576080149175,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             3.0,        9, 1.0000346867465497,                0.0,                  0.0
             2.0,        3, 0.9859128818824907,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             3.0,        9, 1.000057613579484,                0.0,                  0.0
             3.0,        9, 1.0000572972778923,                0.0,                  0.0
             3.0,        9, 1.0000346867465497,                0.0,                  0.0
             5.0,        3, 0.987738736308922,                0.0,                  0.0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             4.0,        9, 1.0000573937228978,                0.0,                  0.0
             1.0,        9, 1.0000124274375728,                0.0,                  0.0
             2.0,        3, 0.9859128818824907,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
