model,sev_base,sev_uniform,sev_gauss_low,sev_gauss_mid,sev_gauss_high,sev_weibull,sev_beta_lowskew,sev_beta_highskew,sev_bimodal,sev_extrapolate_high,len_all_short,len_all_long,len_geometric,len_poisson,len_extrapolate_long,joint_high_long,joint_low_short,joint_uniform_geom,joint_extrap_both,struct_few_long_blocks,struct_many_short_blocks,struct_more_total
pes_ens,,9.823217e-01,8.234803e-01,9.383293e-01,9.342471e-05,9.692835e-01,3.021845e-02,9.329420e-02,8.886981e-01,2.291686e-21,1.914387e-03,6.174438e-03,1.953449e-01,5.024994e-01,1.680135e-08,2.170798e-01,5.954572e-01,2.911208e-01,2.291686e-21,1.000000e+00,1.000000e+00,1.000000e+00
pes_ens_sprb,,1.893146e-02,6.693016e-01,1.925455e-01,2.066999e-04,2.554911e-01,1.263850e-01,1.532061e-02,4.501919e-02,6.757592e-04,1.263371e-01,2.091083e-03,5.156233e-01,5.921714e-01,1.601821e-06,7.892184e-02,6.591389e-01,3.909960e-03,2.273083e-01,1.000000e+00,1.000000e+00,1.000000e+00
pes_ens_accq,,2.483106e-02,5.463797e-01,1.220212e-01,2.547525e-04,1.468227e-01,2.038760e-01,1.747947e-01,4.430573e-02,5.293581e-04,1.229913e-01,1.605943e-03,7.779843e-01,5.451439e-01,1.552245e-05,1.039315e-01,9.278892e-01,1.136627e-03,1.536462e-01,1.000000e+00,1.000000e+00,1.000000e+00
pes_ens_consensus,,2.642032e-01,6.418150e-01,9.327512e-01,2.794389e-09,9.336373e-01,9.005436e-01,3.431391e-09,9.886964e-01,5.885855e-07,9.850900e-13,2.471369e-04,9.192538e-01,2.280964e-01,4.685539e-09,2.952128e-03,1.436958e-18,4.199805e-01,5.404797e-11,1.000000e+00,1.000000e+00,1.000000e+00
pes_ens_consensus_prior,,4.683669e-01,7.347031e-01,1.686849e-01,5.897141e-07,7.430448e-01,1.137488e-01,2.888682e-05,7.827705e-01,1.779032e-10,8.143439e-02,4.982810e-07,5.649868e-01,7.583230e-01,1.938626e-09,4.803122e-02,3.758274e-08,3.289735e-01,1.447047e-14,1.000000e+00,1.000000e+00,1.000000e+00
pes_ens_trf_guard,,5.654783e-01,4.041257e-01,4.531928e-01,1.395200e-03,8.620434e-01,4.095910e-02,3.619300e-02,7.058705e-01,1.192425e-17,4.294448e-01,4.759267e-09,2.080915e-01,5.090023e-01,7.395623e-13,6.907193e-01,3.623295e-07,5.315781e-01,5.911798e-18,1.000000e+00,1.000000e+00,1.000000e+00
