model,sev_base,sev_uniform,sev_gauss_low,sev_gauss_mid,sev_gauss_high,sev_weibull,sev_beta_lowskew,sev_beta_highskew,sev_bimodal,sev_extrapolate_high,len_all_short,len_all_long,len_geometric,len_poisson,len_extrapolate_long,joint_high_long,joint_low_short,joint_uniform_geom,joint_extrap_both,struct_few_long_blocks,struct_many_short_blocks,struct_more_total
pes_ens,,-0.007746,-0.084347,-0.027645,-4.029538,-0.013549,-1.519728,-1.030145,-0.051246,-20.639845,-2.717970,-2.209403,-0.709198,-0.298864,-7.774656,-0.663381,-0.225149,-0.535927,-20.639845,0.000000,0.000000,0.000000
pes_ens_sprb,,-1.722816,-0.174378,-0.715467,-3.684660,-0.592624,-0.898304,-1.814724,-1.346602,-3.170208,-0.898469,-2.679629,-0.287667,-0.227553,-5.795386,-1.102803,-0.181023,-2.407828,-0.643385,0.000000,0.000000,0.000000
pes_ens_accq,,-1.605005,-0.262505,-0.913565,-3.593882,-0.833207,-0.690634,-0.757472,-1.353540,-3.276250,-0.910126,-2.794270,-0.109029,-0.263489,-4.809040,-0.983253,-0.032504,-2.944382,-0.813478,0.000000,0.000000,0.000000
pes_ens_consensus,,-0.578062,-0.192590,-0.030234,-8.553713,-0.029822,-0.045495,-8.464530,-0.004937,-6.230190,-12.006524,-3.607062,-0.036565,-0.641882,-8.329240,-2.529865,-17.842556,-0.376771,-10.267221,0.000000,0.000000,0.000000
pes_ens_consensus_prior,,-0.329414,-0.133888,-0.772924,-6.229359,-0.128985,-0.944053,-4.539300,-0.106366,-9.749816,-1.089192,-6.302526,-0.247962,-0.120146,-8.712506,-1.318476,-7.425012,-0.482839,-13.839518,0.000000,0.000000,0.000000
pes_ens_trf_guard,,-0.247584,-0.393483,-0.343717,-2.855364,-0.064471,-1.387650,-1.441375,-0.151275,-16.923569,-0.367093,-8.322460,-0.681746,-0.293280,-12.131025,-0.160698,-6.440896,-0.274433,-17.228280,0.000000,0.000000,0.000000
