# trial_index,allocated_resources
0,9
1,9
2,9
3,3
4,0
5,0
6,0
7,0
8,9
9,9
10,9
11,3
12,0
13,0
14,0
15,9
16,5
17,9
18,3
19,3
20,1
21,0
22,9
23,9
24,9
25,9
26,9
27,9
28,3
29,0
30,0
31,9
32,9
33,9
34,9
35,5
36,9
37,3
38,3
39,1
40,0
41,0
42,9
43,9
44,9
45,9
46,9
47,9
48,3
49,0
50,0
51,0
52,9
53,5
54,9
55,3
56,3
57,0
58,1
59,0
60,9
61,5
62,9
63,3
64,3
65,9
66,9
67,9
68,3
69,0
70,0
71,9
72,9
73,9
74,10
75,9
76,9
77,10
78,9
79,9
80,2
81,0
82,9
83,9
84,9
85,9
86,9
87,9
88,3
89,0
90,0
91,0
92,0
93,0
94,10
95,9
96,9
97,2
98,0
99,9
100,5
101,9
102,3
103,3
104,1
105,0
106,9
107,9
108,9
109,9
110,9
111,9
112,9
113,9
114,9
115,3
116,9
117,9
118,9
119,3
120,0
121,0
122,10
123,9
124,9
125,2
126,0
127,9
128,9
129,9
130,9
131,9
132,9
133,3
134,0
135,9
136,9
137,9
138,3
139,10
140,9
141,9
142,2
143,0
144,0
145,0
146,9
147,9
148,9
149,9
150,9
151,9
152,3
153,0
154,0
155,0
156,0
157,0
158,0
159,9
160,9
161,9
162,3
163,9
164,9
165,9
166,3
167,0
168,9
169,9
170,9
171,3
172,0
173,9
174,9
175,9
176,9
177,9
178,9
179,3
180,0
181,0
182,0
183,9
184,9
185,9
186,3
187,9
188,5
189,9
190,3
191,9
192,9
193,9
194,9
195,9
196,9
197,3
198,0
199,0
200,0
201,9
202,9
203,9
204,3
205,0
206,9
207,9
208,9
209,3
210,0
211,0
212,0
213,0
214,9
215,5
216,9
217,3
218,9
219,9
220,9
221,3
222,9
223,9
224,9
225,9
226,9
227,9
228,9
229,9
230,9
231,9
232,9
233,9
234,3
235,0
236,0
237,0
238,9
239,9
240,9
241,9
242,9
243,9
244,9
245,9
246,9
247,9
248,9
249,9
250,3
251,0
252,0
253,0
254,0
255,0
256,9
257,9
258,9
259,3
260,0
261,0
262,0
263,9
264,9
265,9
266,3
267,9
268,9
269,9
270,3
271,0
272,0
273,0
274,10
275,9
276,9
277,2
278,0
279,0
280,0
281,0
282,9
283,9
284,9
285,3
286,9
287,9
288,9
289,3
290,0
291,9
292,9
293,9
294,3
295,0
296,0
297,9
298,9
299,9
300,3
301,0
302,0
303,9
304,9
305,9
306,3
307,0
308,9
309,9
310,9
311,3
312,0
313,9
314,9
315,9
316,3
317,0
318,9
319,9
320,9
321,3
322,0
323,0
324,0
325,0
326,9
327,9
328,9
329,3
330,0
331,0
332,0
