#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             3.0,        9, 0.07876043931814947, 2.4245429151551328,                  5.0
             1.0,        8, 0.0713497654410916,                5.0,                  5.0
             1.0,        8, 0.07441260780286477,                5.0,                  5.0
             3.0,        9, 0.07642934603612485,                5.0,                  5.0
             2.0,        8, 0.07432797110041292,                5.0,                  5.0
             2.0,        9, 0.07994094211912274,                5.0,                  5.0
             3.0,        9, 0.07876043931814947, 2.4245429151551328,                  5.0
             2.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.07528089214935363,                5.0,                  5.0
             1.0,        8, 0.07441260780286477,                5.0,                  5.0
             3.0,        9, 0.07642934603612485,                5.0,                  5.0
             5.0,        5, 0.2527640571908685,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             1.0,        8, 0.0713497654410916,                5.0,                  5.0
             0.0,        8, 0.0680126119427074, 0.4507961040236479,                  5.0
             3.0,        9, 0.07642934603612485,                5.0,                  5.0
             2.0,        5, 0.2527640571908685,                5.0,                  5.0
             3.0,        8, 0.07779773128895782,                5.0,                  5.0
             3.0,        9, 0.08271162244368632,                5.0,                  5.0
             1.0,        5, 0.07445685598118243,                5.0,                  5.0
             2.0,        5, 0.08367943073019185,                5.0,                  5.0
             4.0,        3, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             5.0,        0,         -1,                  0,                    0
             3.0,        8, 0.07779773128895782,                5.0,                  5.0
             4.0,        9, 0.08108712156682156,                5.0,                  5.0
             2.0,        9, 0.07984134925670994,                5.0,                  5.0
             1.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             0.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        8, 0.07432797110041292,                5.0,                  5.0
             2.0,        9, 0.07994094211912274,                5.0,                  5.0
             1.0,        5, 0.07445685598118243,                5.0,                  5.0
             1.0,        5, 0.08367943073019185,                5.0,                  5.0
             1.0,        3, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             4.0,        8, 0.07688905841833478,                5.0,                  5.0
             2.0,        9, 0.07994094211912274,                5.0,                  5.0
             3.0,        9, 0.07876043931814947, 2.4245429151551328,                  5.0
             1.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             0.0,        8, 0.06858253123633468,                5.0,                  5.0
             2.0,        9, 0.07994094211912274,                5.0,                  5.0
             1.0,        5, 0.07445685598118243,                5.0,                  5.0
             3.0,        5, 0.08367943073019185,                5.0,                  5.0
             4.0,        3, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             6.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             4.0,        8, 0.07688905841833478,                5.0,                  5.0
             2.0,        9, 0.07994094211912274,                5.0,                  5.0
             2.0,        9, 0.07984134925670994,                5.0,                  5.0
             5.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             1.0,        8, 0.0713497654410916,                5.0,                  5.0
             1.0,        8, 0.07441260780286477,                5.0,                  5.0
             1.0,        5, 0.07025114244672484,                5.0,                  5.0
             3.0,        8, 0.07779773128895782,                5.0,                  5.0
             4.0,        9, 0.08108712156682156,                5.0,                  5.0
             2.0,        9, 0.07984134925670994,                5.0,                  5.0
             0.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             0.0,        8, 0.06858253123633468,                5.0,                  5.0
             1.0,        8, 0.07441260780286477,                5.0,                  5.0
             5.0,        9, 0.0741095560270661,                5.0,                  5.0
             3.0,        5, 0.2527640571908685,                5.0,                  5.0
             6.0,        8, 0.07528089214935363,                5.0,                  5.0
             2.0,        9, 0.07994094211912274,                5.0,                  5.0
             3.0,        9, 0.07876043931814947, 2.4245429151551328,                  5.0
             4.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        8, 0.07432797110041292,                5.0,                  5.0
             5.0,        9, 0.07975519626154316,                5.0,                  5.0
             4.0,        9, 0.07737799389650528,                5.0,                  5.0
             1.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             0.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07606274781109118,                5.0,                  5.0
             2.0,        9, 0.07994094211912274,                5.0,                  5.0
             2.0,        9, 0.07984134925670994,                5.0,                  5.0
             2.0,        8, 0.07432797110041292,                5.0,                  5.0
             2.0,        9, 0.07994094211912274,                5.0,                  5.0
             3.0,        9, 0.07876043931814947, 2.4245429151551328,                  5.0
