#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
            12.0,        0,         -1,                0.0,                  0.0
            12.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            11.0,        0,         -1, 3.0584057399119535,                  5.0
            10.0,        6, 0.13279588755563745,                5.0,                  5.0
            12.0,        0,         -1,                0.0,                  0.0
            11.0,        0,         -1,                0.0,                  0.0
            12.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            10.0,        6, 0.13279588755563745,                5.0,                  5.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            10.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            10.0,        6, 0.13279588755563745,                5.0,                  5.0
            12.0,        0,         -1,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
            12.0,        0,         -1,                0.0,                  0.0
            12.0,        1, 0.7109242800553771,                0.0,                  0.0
            12.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            12.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.13279588755563745,                5.0,                  5.0
            10.0,        0,         -1,                0.0,                  0.0
            12.0,        0,         -1,                0.0,                  0.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.13279588755563745,                5.0,                  5.0
            12.0,        0,         -1,                0.0,                  0.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            10.0,        9, 0.10377884986228897,                5.0,                  5.0
            11.0,        0,         -1, 3.0584057399119535,                  5.0
            12.0,        6, 0.13279588755563745,                5.0,                  5.0
            12.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            12.0,        6, 0.13279588755563745,                5.0,                  5.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            11.0,        0,         -1, 3.0584057399119535,                  5.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.13279588755563745,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            10.0,        6, 0.13279588755563745,                5.0,                  5.0
            11.0,        0,         -1,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.13279588755563745,                5.0,                  5.0
            12.0,        0,         -1,                0.0,                  0.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            11.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.13279588755563745,                5.0,                  5.0
            10.0,        0,         -1,                0.0,                  0.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.13279588755563745,                5.0,                  5.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            10.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            10.0,        6, 0.13279588755563745,                5.0,                  5.0
            12.0,        0,         -1,                0.0,                  0.0
            12.0,        0,         -1,                0.0,                  0.0
            11.0,        0,         -1,                0.0,                  0.0
            12.0,        1, 0.7109242800553771,                0.0,                  0.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            10.0,        6, 0.13279588755563745,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.13279588755563745,                5.0,                  5.0
            12.0,        0,         -1,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
            12.0,        0,         -1,                0.0,                  0.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.13279588755563745,                5.0,                  5.0
            10.0,        0,         -1,                0.0,                  0.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            12.0,        6, 0.13279588755563745,                5.0,                  5.0
            11.0,        0,         -1,                0.0,                  0.0
            12.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            10.0,        6, 0.13279588755563745,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.13279588755563745,                5.0,                  5.0
            11.0,        0,         -1,                0.0,                  0.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            11.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.13279588755563745,                5.0,                  5.0
            11.0,        0,         -1,                0.0,                  0.0
            12.0,        0,         -1,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.13279588755563745,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            10.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            10.0,        6, 0.13279588755563745,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            10.0,        6, 0.13279588755563745,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            11.0,        0,         -1, 3.0584057399119535,                  5.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            10.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            11.0,        6, 0.13279588755563745,                5.0,                  5.0
            12.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            10.0,        9, 0.10377884986228897,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            12.0,        6, 0.13279588755563745,                5.0,                  5.0
            10.0,        0,         -1,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            12.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            12.0,        6, 0.13279588755563745,                5.0,                  5.0
            10.0,        0,         -1,                0.0,                  0.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            10.0,        6, 0.127303250154034,                5.0,                  5.0
            11.0,        6, 0.16104255094195882,                5.0,                  5.0
            11.0,        2, 0.17124838195273356,                5.0,                  5.0
            12.0,        9, 0.10377884986228897,                5.0,                  5.0
            10.0,        0,         -1, 3.0584057399119535,                  5.0
            12.0,        6, 0.127303250154034,                5.0,                  5.0
            12.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            10.0,        9, 0.10377884986228897,                5.0,                  5.0
            11.0,        6, 0.127303250154034,                5.0,                  5.0
            10.0,        6, 0.16104255094195882,                5.0,                  5.0
            10.0,        2, 0.17124838195273356,                5.0,                  5.0
            11.0,        9, 0.10377884986228897,                5.0,                  5.0
            12.0,        0,         -1, 3.0584057399119535,                  5.0
            12.0,        6, 0.13279588755563745,                5.0,                  5.0
            10.0,        0,         -1,                0.0,                  0.0
            12.0,        0,         -1,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
            12.0,        1, 0.7109242800553771,                0.0,                  0.0
